date,high,low,open,close,volume,quoteVolume,weightedAverage
1641063600,3756.03454693,3751.50991668,3753.45828913,3753.15603783,14167.68533117,3.7745521,3753.47457282
1641063900,3757.33621264,3750.13524455,3754.41583852,3751.99742866,354.6007701,0.09443206,3755.08879193
1641064200,3753.52094371,3746.7,3751.99742866,3748.95435564,526.59492141,0.14045945,3749.08859044
1641064500,3749.14180571,3743.23567847,3749.14180571,3744.7586471,94.09925079,0.0251305,3744.42413797
1641064800,3747.34726989,3738.04577398,3744.7586471,3740.50430286,183.42400614,0.04904042,3740.26172994
1641065100,3746.50930824,3739.68005079,3740.37870767,3741.8021754,24640.12760037,6.58516449,3741.76341954
1641065400,3746.29784782,3741.61278392,3745.72984957,3742.26111092,4946.23324483,1.32185644,3741.88383485
1641065700,3744.12130557,3738.2040247,3744.12130557,3738.46936097,15561.50667396,4.16177753,3739.14909237
1641066000,3741.48216,3736.41974934,3738.28243983,3738.23201513,29052.54936543,7.77279259,3737.72347956
1641066300,3739.67137752,3737.02403673,3738.88623544,3737.96642223,557.07665976,0.14899281,3738.9499518
1641066600,3740.55282552,3738.42218901,3738.50198815,3739.39003807,4900.03268762,1.31047459,3739.1283471
1641066900,3748.79944239,3739.39003807,3739.39003807,3747.77241471,31736.70088596,8.47266147,3745.7770499
1641067200,3749.44062032,3742.92831748,3747.77241471,3743.20430274,11832.42575243,3.1588477,3745.80444395
1641067500,3749.1914,3743.67223372,3743.67223372,3749.1914,3680.3704194,0.98189311,3748.23937751
1641067800,3747.79452188,3744.91087736,3746.28503965,3746.46036556,21378.79621629,5.70653589,3746.37023728
1641068100,3746.46036556,3740.74771518,3746.46036556,3746.38646814,4143.88463804,1.10678063,3744.08850834
1641068400,3750.14929305,3744.76398955,3746.38646814,3749.68052601,12619.55006727,3.36827477,3746.59163191
1641068700,3752.33878336,3748.19510316,3750.48022348,3752.24497489,1410.41478033,0.37601899,3750.91369809
1641069000,3767.88879999,3751.05459784,3751.05459784,3767.54081129,79318.50246626,21.06310128,3765.75611596
1641069300,3775,3765.20300934,3767.54081129,3767.35931554,41342.77243674,10.96877999,3769.13134135
1641069600,3767.89968889,3760.39887512,3767.35931554,3761.89766087,26208.24828375,6.96311392,3763.86895071
1641069900,3765.53540431,3760.56630815,3761.89766087,3760.80661914,490.24769823,0.13028424,3762.90868515
1641070200,3761.39861907,3757.20305565,3759.7637418,3760.9661037,24691.679647,6.56720252,3759.84744977
1641070500,3763.46738841,3759.69792872,3760.9661037,3759.69792872,15783.91293806,4.19774223,3760.09580227
1641070800,3764.85144465,3760.19381306,3760.19381306,3764.42997866,3298.07088807,0.87617072,3764.18751824
1641071100,3766.22400298,3761.31436021,3764.42997866,3763.2801058,9347.97197953,2.48415647,3763.03670578
1641071400,3773.98777315,3760.90383209,3763.2801058,3773.98777315,26353.00573618,6.99643935,3766.63105586
1641071700,3775.19098469,3768.50978703,3772.08444974,3768.58821529,17816.75966343,4.72302749,3772.31758679
1641072000,3769.41987485,3765.26945973,3768.39978822,3766.65146793,14307.1383571,3.79664557,3768.36291229
1641072300,3768.05682104,3759.83221933,3766.2748219,3759.83221933,25282.9070489,6.71051322,3767.65624625
1641072600,3766.12999581,3760.82171042,3761.65899388,3762.95324114,170.86924715,0.04541006,3762.80602042
1641072900,3766.92938901,3761.26575432,3763.72125646,3762.830734,11380.46180903,3.02468241,3762.53115745
1641073200,3765.52645813,3759.64304017,3762.830734,3764.50314658,14828.21200823,3.94146523,3762.1065119
1641073500,3765.30932712,3752.05484309,3763.10205738,3753.05963877,37081.7590899,9.87036221,3756.87926146
1641073800,3752.96585231,3746.85092881,3752.96585231,3746.85092881,1014.75046898,0.27062851,3749.60668032
1641074100,3749.49030825,3746.01761816,3746.4,3748.6,42625.38693629,11.37423494,3747.53881567
